target,text,processed_text
negative,"Another! Guess who said this: &quot;You`re getting on my last nerve, SWITCH.&quot; HAHAHA! I miss Luner! Forgot some of Blades of Glory lines! ",another guess who said quotyoure getting last nerve switchquot hahaha miss luner forgot some blades glory lines
positive,@sarapannell I'm just up the road from you in Bentonville. ,road from you bentonville
negative,"@ScottFairfield wow, i have to open the whole thing up to change the HDD? ",wow have open whole thing change hdd
negative,is having a headache. HELP ,having headache help
negative,EPIC FUCKING FAIL!!!  We FINALLY LOST!  SOOOOOOOOO PISSSED OFF BUT THE DREAM TEAM STAYS ALIVE!!! ONE LOSS AFTER 246899832277 wins,epic fucking fail finally lost sooooooooo pisssed off but dream team stays alive one loss after wins
negative,correction my gf has an interview at a Strip Club next week ,correction has interview strip club next week
positive,@kentgarrison aw good luck!! ,good luck
negative,"can't sleep coz of headache, headache coz i can't sleep ",cant sleep coz headache headache coz cant sleep
negative,"@royal_highn3ss no  it won't play on my phone ! I tried to send it to the Sk, but it didn't send",wont play phone tried send but didnt send
negative,refreshing ups tracking url like a weasel with a crack problem. 12 ish hours to go. ,refreshing ups tracking url like weasel with crack problem ish hours
positive,@ToniKaras As u should b proud- she's a natural! ,should proud shes natural
negative,"Que claro ! On the way to school, with an allergic reaction ",que claro way school with allergic reaction
positive,"@Siouxsinner Congrats girl  Hope u have fun! Forget  the beans, you have to go to Boston Chowda Co in Quincy Market. Best clam chowda eva!",congrats girl hope have fun forget beans you have boston chowda quincy market best clam chowda eva
positive,@ijustine just waiting for you to write something ,waiting you write something
negative,"@museumist Yeah, or 140 tweets. No, no rollover ",yeah tweets rollover
positive,@aliented What made him change his mind? ,what made him change his mind
negative,@TwitsMaggee I'm seriously getting sad! I miss Panic! At The Disco. now they sound like a Bad 'The Beetles' rip off. ,seriously getting sad miss panic disco now they sound like bad beetles rip off
negative,"@lollipop_nana Yep, such a tease. Can't w8 4 d official trailer though. Thnx 4 askin. Stl havin ths stupid headache.  Enjoy ur day, Sandz!",yep such tease cant official trailer though thnx askin stl havin ths stupid headache enjoy day sandz
negative,R.I.P. Farrah Fawcett  i knw how her son is feeling  *tears*,rip farrah fawcett knw how her son feeling tears
negative,It's been a longggg day going to bed. Up at 6:30 for school  ttyl xo,its been longggg day going bed school ttyl
negative,"BORED, ALONE IN MY HOUSE, ALL NIGHT, ALONE  SUCKS... AHH ALONE GET TO CHOOSE WHAT I WATCH YAY XXX EPIC xxx",bored alone house all night alone sucks ahh alone get choose what watch yay xxx epic xxx
negative,I'm really missing 1205 right now  xo,really missing right now
positive,joooos! and mild taco sauce please ,joooos mild taco sauce please
positive,"@trendebarbie7 LOL!!!!! I luv u more!!!!!!  ok, so guess what I'm going 2 start calling u, E, D, Brit and everybody else???",lol luv more guess what going start calling brit everybody else
negative,"@DevonStebnicki sux, I'm thinking of being an accountant. Mad monies! I'm a middleschool cafeteria manager  (25k/yr) ",sux thinking being accountant mad monies middleschool cafeteria manager kyr
negative,@gscottoliver - I think it was too much coffee in an attempt to NOT sleep during BarBri today.  ,think was too much coffee attempt not sleep during barbri today
negative,Have Heart is breaking up wtf ,have heart breaking wtf
positive,@Francie2008 *laugh*  Indeed.  I imagine that it would be. ,laugh indeed imagine that would
positive,"@karcy_r @syazaliyana guess, we shouldn't be eating while twittering with the laptop kot... ",guess shouldnt eating while twittering with laptop kot
negative,Need to find all my application and re-install them again (my iphone has been restored  ),need find all application reinstall them again iphone has been restored
negative,i wish there was something exciting for me rn  boring.,wish there was something exciting boring
negative,wonders will everything be okay in the end.?  http://plurk.com/p/whlwg,wonders will everything okay end
negative,@Blondini_NZ No dice for little brother  But he's 18 so he has 10 more years to try again.,dice little brother but hes has more years try again
negative,"just had her nose done, and now it's really hurting .. ouch ",had her nose done now its really hurting ouch
negative,sitting in a traffic. my exit is only an half mile away and not movig anywhere ,sitting traffic exit only half mile away not movig anywhere
positive,"Video chatting with my brother for the first time. I feel like performing. Must resist breaking out into song &amp; dance, playing guitar. ",video chatting with brother first time feel like performing must resist breaking out into song amp dance playing guitar
positive,Today is an inspiring day! Work It! ,today inspiring day work
positive,@Mirantha smallworld ,smallworld
positive,oh haii Mr teeth whitener ,haii teeth whitener
positive,"@shonali miracle of god, few people said gud morning n few gud night ",miracle god few people said gud morning few gud night
negative,@jonstennistweet trying to. d'ya have a link? it isn't up on rg.com yet. ,trying dya have link isnt rgcom yet
negative,says umuulan ng malakas.. huhu..  i really don't like rain.. gloomy.. http://plurk.com/p/1156u3,says umuulan malakas huhu really dont like rain gloomy
positive,@espiekermann Happy belated birthday. I hope you had a wonderful time ,happy belated birthday hope you had wonderful time
negative,"Ugh, ive been denied so many cravings. Now its red velvet cake and nachos ",ugh ive been denied many cravings now its red velvet cake nachos
positive,@fryfan20 Used to have Melchett's Baaaah from somewhere on the internet but Mein Handy is more fun ,used have melchetts baaaah from somewhere internet but mein handy more fun
positive,"@FlaktheHusky @Blaya @mortonfox Night all, hope you slept well too. I'm feeling a lot better today thanks ",night all hope you slept well too feeling lot better today thanks
negative,Do I really want to pay $20 for the tiny little switch on top of my iPhone? Mine is dying.  It's probably worth $5 max + s/h! #fb,really want pay tiny little switch top iphone mine dying its probably worth max
positive,Wow Seagolville is a little Honky Tonk town. I saw a lil red tractor mailbox and a Cowboy Church ,wow seagolville little honky tonk town saw lil red tractor mailbox cowboy church
positive,@Shanece And that's the way it should always be done! ,thats way should always done
negative,beyond disapointed that mom wont go and get her the book already.. ,beyond disapointed that mom wont get her book already
negative,"@ceggs  Oooh ! Wish I knew how ! I have loads of ideas for films, but can't write tosave my life ! Ah ! Well ! ",oooh wish knew how have loads ideas films but cant write tosave life well
positive,pow! right in the kisser ,pow right kisser
negative,http://twitpic.com/7g8j5 My makeup so pretty I don't want to wash it off! ,makeup pretty dont want wash off
positive,@tracydmc70 you betcha. Thanks for being someone fun to follow ,you betcha thanks being someone fun follow
positive,"just had and awesome dream about LARPing, it was awesome  lots of fun",had awesome dream about larping was awesome lots fun
negative,No email from Dane ,email from dane
positive,@ShazamSF So wish I was close enough to come and do this for you! ,wish was close enough come you
negative,Haha its too early ,haha its too early
negative,This whole vacation thing is not starting out so well. I'm really not happy at all ,whole vacation thing not starting out well really not happy all
negative,Watching Morocco vs. Togo match. Adebayor is not playing in the Togolian team! ,watching morocco togo match adebayor not playing togolian team
negative,@cupcakee89 no ,
negative,So wish i was at home in the ATL to see my boy! It's def been a long time ,wish was home atl see boy its def been long time
positive,"@salandpepper I should point out I'm what they call a mature student, why does that sound depressing ",should point out what they call mature student why does that sound depressing
negative,@heylistenup  my dad has a twitter,dad has twitter
positive,@Fryguy79 Ahhh good.You have passed the Classics Convention test!  ,ahhh goodyou have passed classics convention test
positive,can't sleep. excited for tomorrow. listening to the fugees  good shit.,cant sleep excited tomorrow listening fugees good shit
negative,"Oh no  STS-127 scrubbed, due to leak.",sts scrubbed due leak
negative,"@JayLink_ but but but...he got punched  and apparently it was soooooo bad, he's bed ridden",but but buthe got punched apparently was soooooo bad hes bed ridden
positive,@PhillipAshton In your mouth? ,your mouth
positive,"@OurFloridaVilla why not add your villa &amp; those great photos to http://summeraway.com ? we're offering 12 months free listings, thanks ",why not add your villa amp those great photos were offering months free listings thanks
negative,@indiespotting Well that sounds NICE! I've never been to IKEA but want to go sooo bad! We don't have them here! ,well that sounds nice ive never been ikea but want sooo bad dont have them here
negative,ugh tired bored. work AGAIN tmrw ,ugh tired bored work again tmrw
negative,you guys arent very nice to adrian ,you guys arent very nice adrian
positive,"@melanienathan working? no doubt. right there with ya' tempted to rhyme this, but will stick to prose. ",working doubt right there with tempted rhyme but will stick prose
positive,@djreflex I am   I'm working on a pic of you to go up on my new site... I'll let you know when it's up and running!,working pic you new site ill let you know when its running
negative,"@msproductions Well ain't that the truth. Where'd the damn auto-lock disable go? Copy/Paste is good and all, but, eh... I expected better ",well aint that truth whered damn autolock disable copypaste good all but expected better
positive,Watching Fireproof ,watching fireproof
positive,@mileycyrus Pretttyyyyyyyyyyyyy PLEASEeee tweet @MileyCSupporter she is a realllllly nice person who supports U!!! Check her site out!! ,pretttyyyyyyyyyyyyy pleaseeee tweet she realllllly nice person who supports check her site out
positive,@sivinkit that's what everyone in the office keeps saying! i don't think so ,thats what everyone office keeps saying dont think
negative,@aaronasay thanks.. I didn't make it in today.  some wedding stuff has come up I have to tend to!,thanks didnt make today some wedding stuff has come have tend
positive,watching Amazing Race and wondering which episode this is... 3 right @wendywings ? Next episode is NZ?? ,watching amazing race wondering which episode right next episode
negative,Just now getting into my bed...long days = sleepless nights ,now getting into bedlong days sleepless nights
positive,@jazzzyone LOL!! I will be supplying my portfolio site soon... I could use the work! ,lol will supplying portfolio site soon could use work
positive,@newyorkme22 yay im glad you had fun sweety  me too,yay glad you had fun sweety too
negative,"Welll I'm off to bed,,, I have a math exam tomorrow.  Tweet dreams and all that shizz",welll off bed have math exam tomorrow tweet dreams all that shizz
positive,@Magdisloves heeey maagda! I'm in mu houseee .. when u'r gonna come to visit me?  .. pleaseee! comeee!.. miss u!!!!..,heeey maagda houseee when gonna come visit pleaseee comeee miss
negative,@nickjonass boys suck ,boys suck
positive,i have officially found my favorite boys.  had a great time tonight. and found a very comfy bed ;),have officially found favorite boys had great time tonight found very comfy bed
negative,Too sleepy but I force myself to stay up late. I have to finish my thesis today ,too sleepy but force myself stay late have finish thesis today
negative,so I forgot to install latex on my new machine ,forgot install latex new machine
negative,"Uh  planned on being in work by now but have a teeny weeny hangover, I only had a couple of drunks! I am SUCH a cheap date LOL",planned being work now but have teeny weeny hangover only had couple drunks such cheap date lol
positive,Woke up this morning singing the words 'How do you talk to an angel.' Why would I be singing that so early? Hmmm  Croissant for breakfast!,woke morning singing words how you talk angel why would singing that early hmmm croissant breakfast
positive,"@Lynisedoc   oh ok     i was wondering what was going on, no worries, talk at me as you can",was wondering what was going worries talk you can
positive,@wlholiman hahahah thanks! ,hahahah thanks
negative,@MegDollXD I miss youu ,miss youu
positive,@harp_girl Go You!! I'm still amazed when I wake up &amp; the house is still orderly ,you still amazed when wake amp house still orderly
negative,@JAYELECTRONICA NOT A DARN MOVIE SIR! LOL...U SHOULD JUST MAKE YOUR OWN...ALL OF THESE REMAKES R GETTING OLD..IM TIRED OF RECYCLED FILMS ,not darn movie sir lolu should make your ownall these remakes getting oldim tired recycled films
negative,That sounds so relaxing. Too cool. Just doing school work again   GOD IS....,that sounds relaxing too cool doing school work again god
positive,@zaibatsu sorry my humour doesn't read well ,sorry humour doesnt read well
negative,great weekend! birthday went out with a bang lol! back to college 2mro! ,great weekend birthday went out with bang lol back college mro
negative,@Boyzonetour09 one more show for me then its all over ,one more show then its all over
negative,Losing at Texas Hold em ,losing texas hold
negative,@asdfasdfghjkl I thought Mikey Darling = teh secks. ,thought mikey darling teh secks
positive,"@iShift Ð±ÑÐ´Ð»Ð¾ Ð¼Ð¾Ð¶Ð½Ð¾ Ð½ÐµÐ¹ÑÑÐ°Ð»Ð¸Ð·Ð¾Ð²Ð°ÑÑ, ÑÐ°Ñ?Ñ?ÐºÐ°Ð·Ð°Ð² ÐµÐ¼Ñ Ð¿ÑÐ¾ Ð°Ð±Ð¸Ð¾Ð³ÐµÐ½Ð½ÑÐ¹ Ñ?Ð¸Ð½ÑÐµÐ· Ð Ð?Ð, ÐºÐ¾ÑÐ¾ÑÑÐ¹ Ð½ÐµÐ´Ð°Ð²Ð½Ð¾ Ð¿ÑÐ¸Ð´ÑÐ¼Ð°Ð»Ð¸ http://bit.ly/Fz2aA  Ð¯ Ð½Ðµ ÑÑÑÑ ",
positive,"http://txtb.in/2Qa  Ms. Brooks: &quot;What goes in hard and pink then comes out soft and sticky?&quot;  Harry replied, &quot;Bubble gum.&quot;",brooks quotwhat goes hard pink then comes out soft stickyquot harry replied quotbubble gumquot
negative,what happend to this great day its sunny now ,what happend great day its sunny now
negative,http://twitpic.com/65zvr - end of summer!!! ,end summer
positive,is playing Word Challenge ,playing word challenge
negative,shit it. shit it ttm. ,shit shit ttm
positive,"@Amanda_Holden Welcome back, glad the account got sorted ",welcome back glad account got sorted
positive,@nakedxthoughts heyyyyy! ,heyyyyy
positive,@OfficialAS oh. LMAO well...i usually don't call people that..buuut you did something kind so you deserved the title ,lmao welli usually dont call people thatbuuut you did something kind you deserved title
positive,Yankees are getting whuped .. Love seein that ,yankees are getting whuped love seein that
positive,"Opera 10 Beta 1 mit [Google] Gears, yeÃ¤Ã¤h ",opera beta mit google gears yeh
positive,@mcflyharry Remind me not to use many of these - !!!! In my tweets to you  I do overuse exclamation marks though! xx,remind not use many these tweets you overuse exclamation marks though
positive,@xpb I know ,know
positive,"Okai suddenly im very nervous about seeing @danmerriweather :/ lol im so excited , but hes a cool artist, im used 2 seeing mcfly :/ hahah ",okai suddenly very nervous about seeing lol excited but hes cool artist used seeing mcfly hahah
negative,@msdanynic  &amp; you dont love meeeee???  *bernie voice* get yo' sht! get yo sht &amp; gettttttt out! lol,amp you dont love meeeee bernie voice get sht get sht amp gettttttt out lol
negative,"@Yorksville yeah, til you come home with 19 tins of artichoke hearts and a can of whiskas ",yeah til you come home with tins artichoke hearts can whiskas
negative,Eating lunch mmmm..... When life throws you lemons      Make lemonade!!! ,eating lunch mmmm when life throws you lemons make lemonade
positive,done packing. dinner with the family. YAYY ,done packing dinner with family yayy
positive,@arnehulstein Mm do consider getting a new tube. I one time had this tube that just wouldn't stop leaking.  But it was all over the place.,consider getting new tube one time had tube that wouldnt stop leaking but was all over place
negative,"@davidcheok want to give it a try,,, but expensive.... ",want give try but expensive
positive,http://twitpic.com/4eo7k - yay! look what WE did! ,yay look what did
positive,@MediaCoach Memo to Mediacoach: u r funny ,memo mediacoach funny
positive,@musicformedia I'm all for free hugs! ,all free hugs
negative,"tmi tweet; i havent had a period for three months and was concerned, and i finally have it and just wish it would go away. so much pain! ",tmi tweet havent had period three months was concerned finally have wish would away much pain
positive,@jaykellz718 its all good up here!! ,its all good here
negative,"@jeromychan PLEASE HIRE LAUREN LEE, this is a life and death situation for us ",please hire lauren lee life death situation
positive,Just chilling on the sofa watching the TV ,chilling sofa watching
positive,"@Ooh_Aah_Cantona  To top it off, the hoover i'm hoovering with weighs about 8 bastard stone!!!!! so i've kicked that a few times too!!!!",top off hoover hoovering with weighs about bastard stone ive kicked that few times too
negative,@KeenieBeans do you need to joon my session? Will turn  to ;-D,you need joon session will turn
positive,@Starmarc hahaaa thanks managed to work my way out of it and got an extension :p LOL dw ibreckon we could totally do 2010 MTV awards ,hahaaa thanks managed work way out got extension lol ibreckon could totally mtv awards
negative,@zezitron next tues can't be done I'm afraid  any other time mans there!,next tues cant done afraid any other time mans there
negative,"@Phil0u Hmm, not available in my country though  What's the title?",hmm not available country though whats title
negative,"Damn. I had 11 goldfish.  Oh well, that's my dinner. Anyways! Check out my blog yoooo http://weaselbee.blogspot.com/",damn had goldfish well thats dinner anyways check out blog yoooo
negative,I'm sitting at home bored. Wanting to go out but no one to go with ,sitting home bored wanting out but one with
negative,Finally caught up on the @Funimation issues going on with One Piece simulcast.  Real shame too because I was finally going to watch it... ,finally caught issues going with one piece simulcast real shame too because was finally going watch
positive,@pilgrimfamilyuk I'll look out for you!  x,ill look out you
negative,"feels that if I get out of bed, the room will start spinning  sigh~",feels that get out bed room will start spinning sigh
negative,"@jason_tate the AP.net iPhone app is crashing, must not be 3.0 compatible  fix it!!!",apnet iphone app crashing must not compatible fix
positive,Still doin it up in the city of brotherly love. Show tomorrow night.. ,still doin city brotherly love show tomorrow night
positive,Love it when I get into my bed and there are hot wheels hidden in my pillow case and under the blanket! Little brother ,love when get into bed there are hot wheels hidden pillow case under blanket little brother
positive,"@ZackLeonhart  haha, welcome to the twitter family ",haha welcome twitter family
negative,Its okay. My lips are blistered. ,its okay lips are blistered
negative,I have had it with powdery mildew and aphids.  So much for fresh baghali polo; the dill needs to go ,have had with powdery mildew aphids much fresh baghali polo dill needs
negative,Joaquin MUST go to school maÃ±ana. It's his last day and he must do a presentation. I hear him hacking like a pack a day smoker right now. ,joaquin must school maana its his last day must presentation hear him hacking like pack day smoker right now
positive,@lunarcaustic Downloaded it ,downloaded
positive,I just spent a day fixing UTF-8 ID3 tags on my Android phone... now to start on the work I'm supposed to be doing. ,spent day fixing utf tags android phone now start work supposed doing
positive,NYC here we come ,nyc here come
negative,ok homework time for realllssssss. ps  think i've developed allergies ,homework time realllssssss think ive developed allergies
positive,I need 10 ppl to follow @WheatysGirl tell her @j0s3ph1n3 sent you  plz and thank you ,need ppl follow tell her sent you plz thank you
negative,"gahhh, loads of homework ",gahhh loads homework
positive,Off to bed! Goodnight twitterbugs ,off bed goodnight twitterbugs
positive,Had the best afternoon with high-school buddies yesterday (Dim Sum! Yum!) and am looking forward to a lazy day today ,had best afternoon with highschool buddies yesterday dim sum yum looking forward lazy day today
positive,Does anyone else enjoy Oh's cereal still? ,does anyone else enjoy ohs cereal still
positive,"@mikeyway Hey, what's it like being an uncle? Do we get to see pictures soon? lol do you feel old now? Na kidding, your not old at all ",hey whats like being uncle get see pictures soon lol you feel old now kidding your not old all
positive,"@TraceyHewins all good ta, into last wek of hols so chillaxin.   ",all good into last wek hols chillaxin
positive,@jayxtreme take a load off  Relax for me too,take load off relax too
positive,@MAGGIECHICKEN hehe just added phil ,hehe added phil
positive,DAY 5 I JUST HAD AN AWESOME VERY LOW CAL BREAKFAST! gonna get my glasses and hit up the movies today  don't worry no popcorn for me!,day had awesome very low cal breakfast gonna get glasses hit movies today dont worry popcorn
negative,@nkairplay I feel so sad right now. Why did he have to say that? ,feel sad right now why did have say that
positive,@goldensnitch you'll be fine  does that one have wifi access on the plane?,youll fine does that one have wifi access plane
positive,Watched Australia last night and got to say bloody fantastic film with the added bonus of Hugh Jackman  definitely a got to see movie.,watched australia last night got say bloody fantastic film with added bonus hugh jackman definitely got see movie
positive,@pearlofthesea_ ill just illegally download it ,ill illegally download
negative,"last foto, last lunch, last day  looking forward to getting home decent coffee &amp; The English Garden #homeSweethome",last foto last lunch last day looking forward getting home decent coffee amp english garden
positive,pumped for church tonight...long time since i last went to an evening service +/ havent seen marilyn skinner since colour conf. lazy day ,pumped church tonightlong time since last went evening service havent seen marilyn skinner since colour conf lazy day
negative,ITS APRIL! STOP SNOWING!!! ,its april stop snowing
positive,"@JoelMadden wow, that pic is sooo cool! ",wow that pic sooo cool
positive,If you're not watching stay as you are - if they keep the humour up like they have done I'll let you know when it's worth watching! ,youre not watching stay you are they keep humour like they have done ill let you know when its worth watching
positive,"baliiiiiiiiii  omg i cant wait ,im so excited ,its gonna be greattttt",baliiiiiiiiii omg cant wait excited its gonna greattttt
negative,stressed. i can't wait till later. ,stressed cant wait till later
negative,I love you Dwight!!!! Career high pnts is the way to do it! Sorry LeBron ,love you dwight career high pnts way sorry lebron
negative,@xmalier i know  but at least now i can get my camera installation cd so i can do that stickam thing next time,know but least now can get camera installation can that stickam thing next time
negative,@dbam01 believe it or not it wouldn't be the first time somebody used one in my name...Back in '02 a &quot;friend&quot; stole my ID to get a loan! ,believe not wouldnt first time somebody used one nameback quotfriendquot stole get loan
positive,"@jeremyjojola silly me, thanks ",silly thanks
positive,Isaac is married!  does this mean i can take my shoes off?,isaac married does mean can take shoes off
positive,another sunny day ,another sunny day
negative,"Off-line until Monday. Trekking with Grizzly again, for the Great Bustard. Camera at the ready. Oh dear, it's live firing on the range.. ",offline until monday trekking with grizzly again great bustard camera ready dear its live firing range
positive,Had the most amazing food today! My compliments to the chef  Sweet Lord it was delicious!!!,had most amazing food today compliments chef sweet lord was delicious
positive,#dubai fixed flickr issue: http://ow.ly/7yiA ,fixed flickr issue
negative,started my car today for the first time since my bday in April! I really need to sell it.. but Im too lazy to do the leg work! ,started car today first time since bday april really need sell but too lazy leg work
positive,everyday create your history. ,everyday create your history
positive,@nerdist pps and i've decided i'm just pretending you're my follower ;) i won't bother anymore re: that topic. ,pps ive decided pretending youre follower wont bother anymore that topic
positive,@19fischi75 thank u Sweetheart ,thank sweetheart
positive,"@tariquesani What about a bike trip to Leh &amp; Ladakh? Haven't done yet, but might be worth doing ",what about bike trip leh amp ladakh havent done yet but might worth doing
positive,@gypsygrl37 it's not the last one ,its not last one
positive,"Excited for 3PM. Hey, I watch sineseryes once in a while, too ",excited hey watch sineseryes once while too
negative,Why does my son's coach always schedule a practice on Saturday? I'm supposed to be at the gym. ,why does sons coach always schedule practice saturday supposed gym
positive,@ccpugh I'll have to look into that. Until then - I think you might enjoy this blog: http://www.beingtylerbrule.com ,ill have look into that until then think you might enjoy blog
positive,is so hyped up for Sims 3. ,hyped sims
negative,I still miss you  &lt;3,still miss you
positive,"Time for a little bit of Photoshop practice for me today, I think ",time little bit photoshop practice today think
negative,@cloudconnected laaaame.  Give him an ass-whooping when he's done.,laaaame give him asswhooping when hes done
positive,Bbq in hp time after art walk. ,bbq time after art walk
negative,I am very hungover and soon will have to make the walk of shame to get the bus home in last night's dress ,very hungover soon will have make walk shame get bus home last nights dress
negative,i miss my DS ,miss
negative,Nadal won't be on Wimbledon....NOOOO *bawlllll*   ,nadal wont wimbledonnoooo bawlllll
positive,Took the boys out to dinner to let our carpet dry. It was yummy! Much easier to take both out now that they are older.  ,took boys out dinner let our carpet dry was yummy much easier take both out now that they are older
negative,"@MaryRincon its mystery disease, i'm negative for both swine and strep. Docs said to just stick it out ",its mystery disease negative both swine strep docs said stick out
negative,@tumericc me also wants to be at the rat ... !!! ,also wants rat
negative,@wandermere I'm glad you had fun. I've decided I may actually go to my prom. ,glad you had fun ive decided may actually prom
positive,patkSTEREOS i could be your summer girl &lt;3 come to ottawa  xo,patkstereos could your summer girl come ottawa
negative,"@FizzyDuck not a good week so far, do you know if terminal use of firearms in a meeting falls under a disciplinary offence  x",not good week far you know terminal use firearms meeting falls under disciplinary offence
positive,"@sbsbea Ooo yummy! I love chive blossoms in dressing, I look forward to them every year   @bellalimento Thank you, thank you ",ooo yummy love chive blossoms dressing look forward them every year thank you thank you
negative,Oh my headache... I wanna sleep ,headache wanna sleep
positive,@LimeIce for sure it will! ,sure will
positive,"@home last night after long drive, slept really well, now time for dino's wasstraat ",last night after long drive slept really well now time dinos wasstraat
negative,aww im sorry  what did he do?,aww sorry what did
positive,just call me Hank Aaron the home run king. ,call hank aaron home run king
positive,Monday? More like &quot;Moan&quot; Day  I miss the weekend already,monday more like quotmoanquot day miss weekend already
negative,i cant stop laughing @ this burger king commerical.....im so easily amused  ,cant stop laughing burger king commericalim easily amused
negative,oh...i have a soar throat!!!...that's so uncool...  xP,ohi have soar throatthats uncool
positive,"Watching videos on Facebook makes me feel like the biggest creep. Which I guess I am. Also, tweet #200! Woohoo! ",watching videos facebook makes feel like biggest creep which guess also tweet woohoo
negative,@pebaline oh okay i found out. not here ,okay found out not here
negative,for once i dont wanna go to work... ,once dont wanna work
negative,"Bleh. At Dad's. Camp this week was cancelled.  Plus, my Dad's comuputer has no speakers, so no 5AG for me. ",bleh dads camp week was cancelled plus dads comuputer has speakers
negative,tuesday-last day of buddies  wednesday-last w/ EVERYONE   thursday- earl haig w/ budds   friday-DOVER!!,tuesdaylast day buddies wednesdaylast everyone thursday earl haig budds fridaydover
negative,"@rumblepurr My mummy tries to pet the belly-floof once in a while, but I'm afraid I get spikey swipey  It's for lookings not touchings!",mummy tries pet bellyfloof once while but afraid get spikey swipey its lookings not touchings
negative,@JessicaMcD I'm having more fun - holding at the municipality waiting for some sort of life form to answer the phone...whohooo ,having more fun holding municipality waiting some sort life form answer phonewhohooo
negative,"@lynne08_ AHH! YEa, this isn't so cool at all. ",ahh yea isnt cool all
positive,"Happy hour sucked, got indifferent And left. Hitting barnes and noble in Clarendon. Books ",happy hour sucked got indifferent left hitting barnes noble clarendon books
positive,@meganrogers my mind. or my hand? in my PANTS!! hahahahahaha... ,mind hand pants hahahahahaha
positive,@kylepetty  @kenny_wallace - I can't believe Kenny hasn't said a word yet. ,cant believe kenny hasnt said word yet
negative,I just had to wash my hands with gasoline and now my parents won't let me in the house because i smell like a truck stop. ,had wash hands with gasoline now parents wont let house because smell like truck stop
negative,It's raining. Again. ,its raining again
positive,nap time. all this pettiness has worn me out ,nap time all pettiness has worn out
negative,tweeting is boaring  |-),tweeting boaring
positive,Shaun smith... hey ,shaun smith hey
positive,@HeartMileyCyrus Hi. Thanks for following me  I'm Yana  And you are? ,thanks following yana you are
positive,off in twitter. gonna go to the dentist. ooh. scary. ahaha. ,off twitter gonna dentist ooh scary ahaha
negative,WHY are the weekends SO short??! Where did all my sleep time GO?!!! ,why are weekends short where did all sleep time
positive,grabbing and uploading pics.. ,grabbing uploading pics
negative,wants to make waffles but cannot find her waffle maker ,wants make waffles but cannot find her waffle maker
negative,I love it when someone &quot;finds&quot; some work that has to be done before the end of a week a 4.30 on a Friday afternoon ,love when someone quotfindsquot some work that has done before end week friday afternoon
negative,@melkitty78 the key word was &quot;should&quot; ,key word was quotshouldquot
negative,@Stephiecole omg... Take her to the vet ,omg take her vet
positive,"@donttrythis you're awesome dude, loved what you had to say about failure. great timing for me ",youre awesome dude loved what you had say about failure great timing
positive,@selenagomez You arleady have Demi's songs ? So luucky !  I can't wait to listen it ! Do u know when it comes out in France ? LY ?.   X?,you arleady have demis songs luucky cant wait listen know when comes out france
positive,@KhloeKardashian Nice to see you've joined the new craze  I'm a big fan!,nice see youve joined new craze big fan
positive,byee people; Good Lucky ,byee people good lucky
negative,Feeling increasingly under the weather. There goes my 4 month streak of not getting sick !! ,feeling increasingly under weather there goes month streak not getting sick
positive,http://twitpic.com/7hdka - photo booth-ing while i am studying.. cool hehe ,photo boothing while studying cool hehe
positive,"@mackenziesmomma \o/ I got it right!! WOOHOO!!! *does happy dance*  Nope, I don't mind. Go ahead and post it  You sneaky squirrel you! ",got right woohoo does happy dance nope dont mind ahead post you sneaky squirrel you
positive,"@happylovesChuck Not yet, but we do have Awesome &amp; Ellie ",not yet but have awesome amp ellie
positive,Went to the best church this morning. Made me happy. About to make some lunch and enjoy my sunday ,went best church morning made happy about make some lunch enjoy sunday
positive,had a good chill/rest/do absolutely nothing day. Got a lot to do 2morro though so I'm headed to bed. Goodnite. ,had good chillrestdo absolutely nothing day got lot morro though headed bed goodnite
negative,At ortho......ouch! ,orthoouch
positive,@CathyCarter   ,
positive,check out me singing  youtube.com/joan3103,check out singing youtubecomjoan
negative,@chapter42 It would be great if it actually worked ,would great actually worked
negative,"@shesDIVINE (whinning) pammmmmmm, mel wont let me have sex on her bed ",whinning pammmmmmm mel wont let have sex her bed
positive,@gumbylbn Twice today. So I'm all good there. Thanks! ,twice today all good there thanks
positive,@lisa_tut: thanks  lovin this fall weather that has rolled in . . . How 'bout you?,thanks lovin fall weather that has rolled how bout you
positive,hi im learning how to use twitter ,learning how use twitter
negative,"@raihanamcfly wow. airport!! are u going overseas? lol. rmbr, u got sch tmr! hehe. i still havent visited changi terminal 3  cya later! ;D",wow airport are going overseas lol rmbr got sch tmr hehe still havent visited changi terminal cya later
positive,@MistressJoJo hahahaha oh you dirty woman!  lmao ,hahahaha you dirty woman lmao
positive,@Ubmyanchor Tanks for the double birthday wishes PGB!!! love you tons ,tanks double birthday wishes pgb love you tons
positive,Is officially in san diego ,officially san diego
negative,Ughhh. Need to go outside and finally finish my project ,ughhh need outside finally finish project
negative,On a lib comp again ,lib comp again
positive,Descontrol fest!     a webo  let's rock bby!,descontrol fest webo lets rock bby
negative,My dad and I are unable to cook. We made dinner for my mom. I feel like my stomach is going to blow up from pain ,dad are unable cook made dinner mom feel like stomach going blow from pain
negative,@cristiano03 @deathdude @killingdance Well Sara is not going tomorrow or sounds like she's not and you are all gonna hate me. ,well sara not going tomorrow sounds like shes not you are all gonna hate
positive,@julesurich http://twitpic.com/6iwys - awwww nice  i wanna watch it ,nice wanna watch
