target,text
positive,Shoe and Sangria Sunday is finally here!!! Come out and bring your friends 
negative,Getting ready. Then going to my doctors appointment. Please let me hear I will get my voice back 
positive,". Thanks all  just getting to the tweetup now...those on their way, there is an ancident on pacific park, just south of la paz.."
positive,@giggipacho I Lï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½V YOU 
negative,"Gah, the tap water here is dreadful.  Come on Mr Water Cooler man, bring us some new bottles immediately!"
negative,"getting frustrated at the BCS theory, cant find a simple explanation "
negative,just woke up 
positive,@xoJulianaxo thanks!! aw ill definitely let you know!! i love them too 
positive,@SukottoRead That did the trick. Thanks for the advice 
positive," Nothing left to do but sit back, relax, have fun, and enjoy the ride! Lmbo. XD"
positive,CHECK OUT MAIN ATTRACTION!!! ON MYSPACE OR YOUTUBE ... MYSPACE.COM/DJDIAMONDKUTS /YOUTUBE.COM/DJDIAMONDKUTS LEMME KNOW WHAT U THINK!!! 
negative,I really should be writing some music but sadly I haven't been in the mood 
positive,@threadless   oh oh oh just bought some wicked $5 t-shirts!!  thanks guys
positive,Unwinding from a long day...kinda glad the cavs won! Brings back my hope of Kobe vs. Lebron 
negative,"I mean, I all but know that my made-in-china shirt for $50 was made for about $0.50. But it's so cute. "
negative,"@Hanxx It's not too bad! I should know, I have to watch everything on iplayer when at Uni "
negative,i'm sooo bad at this game... My back is killing me  back massage?
positive,@mvheath probably take me a year to read it 
positive,@Jonasbrothers Just bought new album  CAN'T WAIT FOR TONIGHT     
negative,"@billyraycyrus i wish you were here in Argentina, doing a concert with miley &amp; your family. that's OUR dream, idk if it will come true "
negative,No sleep. Starbucks mission.  i'm so tired
positive,"@ddlovato noooooo a few hours? u are so cruel hahahaha jk, say it say it "
negative,I may have just found out I'm allergic to tomatoes 
negative,@stephenfry Hurry back Norwich - the Tractor Boys will miss you 
negative,is so bored 
positive,on the phone with @trixxaayyy. 
negative,"@mungotwyford as opposed to here, not a sky in the clouds "
negative,@JayLoftus Yeah well that's what they recon but it's a bit cloudy right now  should get better over the weekend hopefully!
negative,Cleaning....i need a maid!! 
negative,@asheleybg I've called you earlier than that before... why didn't you answer last night? I really needed you. 
positive,skipped lunch. now eating maggi with chicken sausages 
negative,"@mamajoan I can't read it  Ratkong! If it's about what i posted on urs earlier, i hope it can wait til monday! No internet where i'm goin!"
positive,Off to prom!  SteveSalazar&lt;3
negative,Ugh...bad weather coming in- internet being stupidly slow. 
negative,Cyn2 is confused with twitter..  dunno what to do..
negative,missed PCD  flight delayed for 2 hrs at Singapore..but was an enjoyable flight due to great pax!(:
positive,"@itsflora Awww, Thank you so much! I bet one day it will be cheap so you could probably get it one day soon "
positive,@Samera_O how about throwing the ones you don't like our way 
positive,@FoxWhisperer organize suitcase now.  Then sleep. You'll sleep better knowing it's done. 
positive,@philiplavoie have a great race tomorrow 
positive,"@syrianews That's my borough. We voted in Galloway, but we did well here! "
positive,In maths with jess.  x
positive,WELCOME TO ITALY @mileycyrus!! I'm Italian!!! 
negative,Monday sucks.  Sore throat and still going to school. 
positive,@PatricidalPup Yay you figured it out 
positive,"@chrispirillo go for porch, there's some mint juleps to be had on it. "
negative,"Ahh. School's almost over! So that means...We get a bunch of junk dumped on us to do.  Plus, we're all gonna be stressing for finals..."
negative,Ewwww drank the bottom bit of the juice with the bits 
positive,Picking up a 2H Featherlite horse trailer tomorrow.. VERY excited 
positive,"Laying in the sun, listening bat for lashes very loud, waiting for the spin class to start. Still have 30 minutes.  "
positive,.....I've already paid them off  
positive,Watching the mentalist. Hi paul. 
positive,had an interesting night with rhett last night and just got home from hanging with dylan and jquan. had a blast 
negative,@BradSabbath it's too cold 
positive,finally got a chance to watch &quot;wall*e&quot; and i loved it oh and i love the iphone give away #squarespace 
positive,Wsupp to Kirk&amp;&amp;Carrington! Good talkin to you guys today 
positive,@Shab0206 Take some pictures if you decide to go!!! 
negative,@aaggrey  I wanna see you! Where do you work? I may have to buy you lunch tomorrow! ~+~JRG~+~
positive,@Zellgado: I agree! Thanks for taking us out there and making it enjoyable 
negative,@Mimo777 Phew! Good luck for Stickers ;-) But he said he was moving an cudn't comment... i still feel bad for Stickers 
positive,Law week is gonna go the fuck off  SO EXCITED
positive,@putmynamehere aww! that's so cute.  my other crush too. my cousin's thought he's my bf! coz his my partner on our prom. and were very ...
positive,"@chrislawer read those of course  just wondered what was meant by 'early &amp; fluid' -explorations &amp; assumptions, rather than stated needs?"
positive,leaving anaheim! this weekend was very amazing! i couldn't have asked for a better 18th bday!  ready to do it again all in like 2weeks &lt;3
positive,just changed my twitter design. i think it's cutie. 
positive,"Love it! Hummer sells first.   You know, that really small car - The Hummer.  I wonder ... will they build a mini for the white house. "
positive,@shoesandbooks  Hay Mariela how are you doing... finally .. 
negative,Kenneth weathering the storm... typical south florida weather 
negative,"Susie Suh wrote to me inviting me to her show in LA, she even offered to put me on her list! So bummed I can't make it "
negative,"@EllenM7 No, not till the 29th.   But I am getting all the details worked out for the house we are buying here. Must be done!"
positive,@itsdawns got a grade of 100/100 on @grader.  Check it out:  http://twitter.grader.com/itsdawns WHHHOOOHOO YAHOOOOO and YEHHAAA now what 
negative,@annTRS omg  rian and zack deserve more followers!!
negative,wants to join BMPM (Boto Mo Patrol Mo) but buys at work  pfff!
positive,Might want to get Metal Gear Solid 4 again. I feel like playing through it 
positive,@jonasbrothers http://twitpic.com/624qo - Your SO handosme Nicky!!!! I love you SOOOO MUCH!!!! Elvis is SO CUTE too  I also bought Par ...
positive,@briv send some my way plz! 
positive,"@shane_murphy I also say: Make pictures, don't just take pictures.. and Take the damn flash off the camera! "
negative,Is very tried + got exams today  x x
negative,@Lunakitten the bank is being a pain &amp; now we don't know *if/when* we're going to close on the house... and im just a mess about it 
negative,"Just left the movies and I was cryin , I hate these movies that make u think about urself !!! "
negative,@willbldrco yeah. believe it or not. 
positive,Monday morning weigh-in. 178. Up 1 pound. Dang @jpickwell those yummy hamburgers at the Trailer Trash Party pushed me over. 
negative,I swear the doctor is out to get me.....I'll prove her wrong ...hopefully 
positive,@specialk2535 Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip 
negative,@sims3addicts I get the message &quot;The requested topic does not exist.&quot; when clicking your link 
positive,"lough park today, beautiful english weather and an ice cream, what a plan "
positive,i'm back hoooome!  now it's time to work! woo hoo! i'm so excited!
negative,"we've got a park playdate today, but it looks like rain.  "
negative,"bah, immune system finally gave in. It did so well this year....  Throat is feeling horrid now."
negative,"and again &quot;all the tears on her guitar, im not bitter&quot; ouch joe. poor taylor "
negative,@KevinSwitzer Sunshine Savings Bank (new bank next to Publix @ Lake Ella) got robbed. Guess the weekly bank robbery quota has been met.  
negative,@chanikin http://i245.photobucket.com/albums/gg61/Roooby/spoinkmurder.jpg  photobucket resized it 
positive,I'll be seeing @AlexAllTimeLow tomorrow night 
negative,ouchhh my tummy hurts 
positive,"so it's 230am and i just finished making an army load of chicken salad. busy life, I have! "
positive,@Tattooed_Mummy thank you 
negative,"It's such a nice day, and i'm stuck in this stupid office again....help me someone "
negative,@Felicia00 THIS GONNA SOUND LAME BUT I DONT EVEN GOT IT 
positive,@lightsnoise http://bit.ly/17sCsf  you're an inspiration  i hope i did it justice. &lt;333
positive,@rshyamsundar yaar... kabhi to paise kamane ka chance mila hai... i'll reduce the frequency 
negative,@PoisonKeyblade omgsh no way!!!!! that's awesome!! awwz i wish i could be there  stupid regents!! ughhhh
negative,"â¢ Just out of curiosity, how long can one stay in Borders before getting thrown out? Someone told me they've been thrown out before "
positive,@ahmednaguib el zhaer google chrome beysht3'al nafso  .. Firefox has nothing
positive,safe at the bestfriends. tonight was new but fun &lt;3 goodnight cuties beach in the morn. 
negative,and i dont feel good 
positive,@AnitaDiggs 
positive,"@taylorswift13 - I hope your okaay, with your dreams  i hate odd dreams. peeace onn x"
negative,"Played 18 holes at Edda Huzid golfcourse in Voorthuizen, was selftorture, i really suck  course was very nice though and weather was ok!"
negative,@bjam331 I don't know that word 
negative,@supergirlsu think it's hit me today that it's over for a few weeks  hope your shift is ok.
negative,...permanetky cause the htel can't even get in cause  ad were wasted whichdoemst help  omg sorry I can't elieve I'm tweetinv eerione ha
positive,@Charlie_Raleigh Sorry Charlie  Hopefully you can make it next week!
negative,@Kacizzle88 i'm sorry about your night     lemme get you a drink 
negative,@aaronspod listening on @dismarks  -- I've never seen any fireworks in DHS 
negative,nothing for lunch 
positive,On my phone 
negative,"@Sheryl07 being nosy, lib is only open till 5 2nite  still easter hours apperently!"
negative,Good morning everyone. I dont feel well 
negative,"i need nick right now, he can make me laugh. but sadly, hes not on "
negative,Wishing everything was just ok  go the blues although i can only watch half
negative,@sharlr no! I have to confess that I haven't!  What am I missing?
positive,"@mapletears Yeah take photos of every hike, write about it on your blog along with a picture from it  How does that sound? "
negative,says bored  http://plurk.com/p/139sww
negative,@bee_bo gracias. I am picking up my antibiotic now. 
negative,@mamitamala Did a bunch not show up? 
negative,I didn't sign up to attend a wedding today  ugh
positive,"Why do I love my tweeps?? When I go into slight panic mode, they jump to it with info! Thanks everyone. Feel better already. "
positive,@Bipolar_Blogs I do have Wordpress.  I'll take a look at FeedBurner tonight if I get a chance.  Thanks for the heads-up! 
positive,4th song... ''whoooppsss now!'' by janet jackson 
positive,@lainehmann talk to the insurance companies about what sort of claims they receive.  SCARY........but they are fun.  
negative,@Billionairetwit it's not our fault! Ud go from happy to sad too if ur uterus was doing backflips  LOL
negative,super computer has passed. think hard drive got fried in storm last night  very sad.
positive,@stewpatty thanks for sharing details with us bb! 
negative,@KillzoneDotCom WHY? 
negative,"Grr, OH and I succeeded in falling out with my entire family and each other, I hate when stuff like that happens. "
positive,help me get out of this BOREDOM!!! I'M SO BORED! 
negative,"Super sick its unreal, even my bones and joints hurt "
negative,@nkangel74 I don't know what's wrong...I can't see Tab's either 
negative,@Veronique_B I guess that's the prob - I'm starting to think what I want and what's important are different. 
positive,@pureelite Did it go well. 
negative,"@dougiemcfly yeah dougie, you're stupid..... lie "
positive,@takkuso You're too kind.  I gave it a college try with Esme's first morning round-up in days.
positive,@ubfid thanks for clarifying - interesting 
negative,"iPhone OS 3.0 is still limited to one Exchange account, so no Google Sync Exchange for me. "
positive,"Went to bed at 8pm, so up early. I was absolutely knackered from the festival of nature. But it was very enjoyable "
positive,@JesseMcCartney How are you Jesse? Love youu! as a fan 
negative,"@vyvy88 Yeah, my laptop overheats all the time   I couldn't stand it so I bought one today.  Thanks Ivy!"
positive,@Lena_DISTRACTIA Good morning. 
positive,@Acidoriccio Thanks for the props!  ? http://blip.fm/~78thr
positive,spam with veggies 
positive,"@PaulaAbdul congrats on your new apple! once you go mac, you never go back! "
negative,@AnastasiaVanite Ha! I haven't in 4 months. But this is the first time she's gotten me mad in forever! 
negative,I don't like waiting 
positive,@AMarie471 Yay! Can't wait to come visit!  Speaking of visit.. the BBQ is planned for July 25th!
negative,my tweetyboard is broked 
negative,Goodnight ppl i have work at 8  only a coupl hours of sleep though i'm off at one
negative,@ainakobets made me miss london.  hahahaha.
negative,Omg. I hate when I'm trying to go to sleep and i hear my hello kitty watch ticking. It is the only thing that is keeping me awake. 
negative,Off to work til 5. Then spending the day with the fam. Its dreary out 
positive,@linuxawy hope you have a nice time 
negative,Reading Twilight I want bells and Edward to kiss!!!  do they ever kiss???
negative,I feel sad that we will never see this classic character on television ever again.  http://bit.ly/Jm8Wk
positive,"amazing night at the #a4uawards last night, and a shiny new trophy for the @top10compare awards cabinet "
negative,No more being sick 
negative,Tried on a cute strapless Betsy Johnson dress last night but Tony was with me so I couldn't pretend they gave it to me for free. $410 
positive,"@AllyZarin Go, Ally, Go !!!  "
positive,@wilw Was it the REALLY purple unfiltered stuff? So good  I &quot;buy it for my 18 month old&quot; ;)
negative,turbonick isn't working right now. ahww.  :p
positive,Love coming home after a big day 
negative,On my way to meet Jake in ashford... It's chillier than i thought it would be 
positive,@Tyrese4ReaL Goodnite. Chocolate kisses back. Where eva u want em 
positive,So can't wait to release details about Kianna's Birthday!  .... hint: http://song.ly/3ov3
negative,hurt my hip and knee at the beach..argh the pain.. wish I had time to take a pk and get a load of seep.. no such luck though.. 
positive,alrite.. time for bed now.. tired.. goodnite tweeties.. 
positive,is ready to start working! I'm excited! wooot 
negative,Taro today  - I feel like death 
negative,"WTF NOVAK! NO...  It's going to be hard for me to care about the men's tourney now. As for the women, excited about the upcoming matchups."
positive,Is now certified in final cut pro 6 
negative,"bed, alone again  hope you're all having fun in wildwood!"
negative,"allergies are making me drowsy as heck.  eyes keep watering. i feel like shiz. movie in bed day,perhaps? methinks so."
negative,Back at home after a long weekend in TX.  It's just as hot here as there 
positive,it's a good thing my clients don't follow me on twitter and see how productive i'm being 
negative,@DiNovia   Wednesday is over.    Maybe Thursday?  My F5 key is sooo tired.
positive,thx @KrisKoga for the hint  --&gt; @GreenPeacefan follows @KrisKoga
negative,i took out my old flute to look at.... Its like tarnished....   
positive,'what I'd give to be December boys again.'-&lt;3 my song of the day 
negative,@QueenBeeza No 
negative,Nope not yet 
negative,Photo: My V button broke .  Bagel bites &amp; cantaloupe drinkÂ ! http://tumblr.com/xyk1yzyyg
negative,Path to self destruction....life has hit me with a few blows that has me dazed..don't know if I can recover 
negative,Severe hiccups 
positive,I made it to Butte Montana 600 miles down... About 2200 to go  http://bit.ly/vJjXs
positive,Getting ready for the concert 
positive,"@mrskutcher its a great article, I love twitter way more than the other social networks. Much less invasive! "
negative,"for english i have to do a two minute monologue as a character! arghh, i can't act, if i wanted to do that i'd be in drama! "
positive,Up early to try and get all of you lot sorted on on my Seesmic Desktop  Then off to Reading to see some friends for the day hurrah!
positive,@Ms_Nicholson Porshala don't forget my cheesecake if they have some  Hi @theres1bad and PJ!!
positive,gunna be good tomorrow!(L) filming video for competition with laura and buying paranoid single cd! eeeep 
positive,My tattoo is done! Harry Potter for life 
positive,"@melissasparks hey thanks! stiupid twitter, i never kno when u're on!  happy friday!"
negative,@AbbyJOU im doingg okaii i guess but i hate skool sooo much  wat about uu?
positive,Woah i can send one from my phone! 
negative,Jeez im already not having fun. This is so awkward. 
negative,"i'm feeling overwhelmed, english coursework and TOO much revision. "
positive,is having lunch with Honey at Restaurant Cicou. Sarap! Highly recommended! 
negative,buuuuuuuuh!!!! I want to see JONAS tomorrow!!! I want live in USA! 
positive,I forgot about these vids. http://bit.ly/3DBYC
positive,with ma homies watching gossips  ma leg feelin good atm but cant touch the water still
positive,"@MorSuban &quot; i remember the exact date: june 11, 2006. it was the day i met my first love...&quot; - from miles to go  aww &lt;3"
positive,@Kaylias But of course the guy selling our company health insurance said allergies are &quot;all in our heads&quot; 
negative,Im from where? Wont anyone talk to me? 
positive,@shuyeeA hmm.. idk what happened but i hope things are fine. 
negative,"home from work, wondering what to do tonight... "
positive,@RocBoyMonty i knew u loved me!  lol
negative,"That dress... Sigh, I guess it's just not meant to be  http://twitgoo.com/mhiu"
positive,@RobertHoliday WOW!!! Robert don't know if anyone else could have said that any better. 
negative,@ParisCarney I would but it will melt and won't be as fresh.   
positive,"Awh, the baby ducks were crossing the road when I left for the bank. Cute, but time consuming. "
negative,&lt;--- still at work. missing #evfn  
negative,"Sunburn is killing me, even burnt my knees   It really feels like its only about 6pm as it still really light yet its 22:38pm oh well"
positive,got some pictures to upload to flickr will do so later. 
negative,First day of a2 cannot be bothered 
negative,@7humbs it has to do with games its blocked 
negative,Totally sad now. Don't get to go to italy. WAY to expensive. 
negative,who is the real kristen stewart??? please please help me!!! IÂ´m realy desperate!   realy like her....
negative,"@hotforwords http://twitpic.com/7yzsg - Aww man, I totally miss being on stage "
positive,@mbender88 im not quite sure yet. i might just take the train. i was hoping you guys would all come with me.  the vid would be soooo jokes
positive,@tiff_tootsie: take care tiff!!! exam is coming soon!  james franco + zac efron = HOTTIE &lt;3
negative,@bobbyvaughn http://twitpic.com/7ejkl - what about freaking out      just the underlined ones you guys are playing?    and what time a ...
negative,Graveyard tonight 
positive,"@picklesthedog Oh, Pickles is to cute! He looks like he has everything under control too. "
positive,"so happy   heem, i want to make a friends now.. mucH frienDs "
positive,I'm on the phone with my adorable boyfriend  eating a choco hannah montana egg
negative,"@CriterionGames I've beat 50% of Big Surf island on my license, beat every event, and I still don't have the Olympus. "
positive,"@marcfennell not just you, paul mcdermott definitely hasn't aged "
negative,@hansolohh I cant right now sorryy 
negative,"Off to work soon, I really need to find a career with better hours...I hate not having the evening with my family "
negative,Dreading going to work in the am 
positive,headed to the pool. loving these days off! 
negative,wish we had Pac Sun in Enlgand I miss shopping there 
negative,@travcope well I got NO tracking number - and I ordered mine more you two did 
negative,belly issues. BOOOOO 
negative,sickinmyface 
negative,@Jennjennx3 Oh.. i see =[ that sucks.. go somewhere  else? and work.. im contemplating on moving to my dads  not sure tho.. yet
negative,i lost my flash drive!  I am so irritated with myself. my novel is on it. 
positive,"The joy of living in the city, car alarms go off at 2:40 am  waking everyone up!"
positive,@haneeys okies thanks!!  
negative,@LizS4ra Ooh is the course any good? I'd like to take that course but worried all creative writing skills disappeared when I left school 
positive,gonna have a girls night 
negative,Cholesterol went up again!  I guess I should be a vegetarian.
positive,twitteriffic. 
negative,is going with her father to the emergency room. 
negative,sad    Missing you already!!!
positive,@Jlo1978 Errrr no not quite. Wasnt feeling that good lol  But never fear I will be there 2moro 
positive,"I want to see the movie 'Taken' now, just because the people in the movie are following U2 around Europe. I am a ridiculous individual "
positive,make the best of it?  I am! 
positive,@briniloo a-hem! And with @lightchild. 
positive,@HellaSound @adilemmasf Catholic guilt is a terrible thing.  Luckily I got over it a long time ago ;)  See you in hell! 
negative,thinks shes losing her best friend 
negative,@schaeferj89 ow  do you have much to do today?
negative,"@TheGforceNY: Hi, not official  Some1 of APG (3rd pensionfund i/t world) told me. They invest 70% green i/t US. Info http://bit.ly/16Rnjh"
positive,My fat boy. That likes cake 
positive,"@MarkHeartofBiz Hey, wishing you a wonderful #heartofmoney call today  ... Exciting!"
positive,"Susan Boyle -- Was in the newspaper 2day that she had quit ,, buh hu knows . i Prefer the dancers  She isnt amazingg ."
positive,"@Lori_NetSuccess AWESOME!   I think the closest thing we have here is Chipotle   Well, the scene isn't that bad, but it is not the same."
positive,"I'm off now, G'night Twitterverse!  Time to stack some z's. *snores*"
negative,i have a frig headache. up at 8am tomorrow to wait for the internet guy. and exam revision 
positive,@EmperorNorton will check them out  au revoir
positive,I want a panda bear!! 
negative,@evilkittywonka That would be awesome. I'd love to go abroad to see a band! Stupid air fares 
negative,Just got done eating DQ for lunch with my babe. Now back to work 
positive,@shaynethurston Awww - what a lovely thing to say 
negative,@rockgrrl He has 222 movies/shows to his credit. I am a sad that it looks like suicide 
positive,I love my Stephanie McIntosh CD! I really recommend it  x
positive,Nails are finally dry . i've got an hour to get ready. byeee 
negative,"@clubalektrablue AHHHH you lucky son of female dog (I kept it clean  ), I wish I was there "
positive,"@BeverlySchmitt Lynda is a spammer. Welcome back, there, missed you. "
positive,"@Sathyai i was totally wussy about everyone of my teeth coming out  I think, it just consumed me - your right boys are weird "
negative,5 am. Im awake. my job today? counting money. 
positive,Up to 53 followers! How exciting 
negative,so much coursework to do for tomorow 
positive,@xsuzzyx gurrlll I needs to cut my hurrrr 
positive,@RealMattLucas awesome stuff 
negative,"@raphaellochan Didn't even look at specs. All outer beauty, I'm so shallow "
negative,"@illuminatebelow Oooh, could I grab one? I'd... well, I can't bake you cookies "
positive,hey howz it going i just ate like sooooo many donuts i think im gonna explode :O but it was worth it lol 
negative,@Kiss108FM i meant how come i cant watch the live stream? 
positive,Today is Copper day  http://twitpic.com/6tj51
negative,AWW STOP IT UR GNNA MAKE ME CRY ... 
positive,http://twitpic.com/6d17f - Well...that was harder than I thought. Can't wait for the sun to hit them tomorrow morning 
negative, ... i try... i try so hard... and i seem to get no credit for it.... wats the prob?
negative,rain is stupid....i wanna play outside 
positive,@gilroyhyna yea! Im going aprt shoping you should come with me! 
negative,"has a hole inside... the pain is gnawing away at me.   or wait, prob just need foods."
positive,@TwilightBlogNet I &lt;3 this... 
positive,"Wheyyy, Dragon Plateleg drop from the ol' Iron Dragons. "
negative,love love LOVE the 'Good Love' video @tamichynn @Wayne_Marshall FINALLY got to see it!... parents leavin in the morn 
negative,@laurinchen15 no she hasn't 
positive,I am so bored but excited to go jet skiing today 
positive,@DaveMalby that's ALL it takes?  LOL..I am impressed.  
negative,Finally made it to the wedding rehearsal! Very very hungry..  Haha.
negative,first games today at 12 and 2. sunburn hurtsss. 
negative,@DonnieWahlberg Haha so true! I had my camera all ready! But No DDub  hehe Its ok I know Boston is way too crazy! We luv ya 2 much! twugs
negative,Getting ready to watch kobe drop 50 in a lost to the magic.....top5 fav players in league=kobe 2nd fav team in the league is magic 
negative,Just got home from food shopping and now cooking  my god I am tired
negative,"@DamianGrounds  #ElevensesTime Yes, I must get on with some real work too  - look forward to seeing you all later!"
negative,Blahh. It better stoppp raining. I don't want to be inside tonight!! 
positive,"@daisybruce Yeah thats a good idea actually, then you can work your way up as you go along. Im certainly looking in to it "
positive,Hello my followers...Tweet ME..i will Def. Tweet you back!!! 
negative,I have safely arrived back in HELL. 
positive,@ButtonsBbyyy: Sunshine and I miss you too baby!  Like craazzyy!
positive,@whatsername2 dude it's totally pissing down over here in canning vale 
negative,Frustration... The kid fell asleep at 6 just woke up at midnight Grr! Looks like i'll be awake for awhile  lol!
positive,"@nareejo got your text. yup, i agree.  LOVE the concert pics!"
negative,@_rachaelll well... if i said the truth and said it was fiona she'd rip me up alive 
negative,"suffering  from secondhand smoke, while a friend downloads this for me. "
negative,"@MistressRouge thanks, i do like tatts, not a good weekend thus one, i am on call  how bout You?"
positive,"@AFPMissouri Thanks for the #FF....sorry it's a late response, was out all weekend. "
positive,breakfast then cleaning my room  tuesday - beach with the biffs &lt;3 can't wait !
negative,http://bit.ly/11scsc    nem to acreditando !!      
positive,@peytonluvsjoe oh yeah thanks for letting me know 
negative,"Maybe next time I should try and catch the ball with my glove and not my other hand, ouch "
positive,"@NikkiLynette I added you to my gmail, its the one that says americandreams. And I'm bought to text u so u know its me when I call "
positive,I've just realised - 400 FOLLOWERS! YAY!  xx
negative,Walking around aimlessly in tropicana city mall.. 
negative,i want to jump in the water.... not write this stupid paper 
negative,Oh back to work again!!!!! Oh how I hate mondays!!!!! 
positive,"Eat Sleep Draw!: Part of my Neuroanatomy take-home test.  After this, Iï¿½m...: Part of my Neuro.. http://bit.ly/fXs3L"
positive,@MeganLovesJo yeah. awww! well you'll still get to see her!  and who knows what could happen 
negative,"Need to get out and catch the bus to go to Starbuck, then work crap. "
positive,watching Monty Python Live at the Hollywood Bowl 
negative,wants to play the piano really bad right now but it's half past 3 in the morning  off to bed to resist temptation.. g'night twitterville!
negative,"I leave for the beach friday! But I have SO much to do the next 2 days, and I work both! "
negative,neeeds to revise textiles! jeebs it's a bore! 
positive,@RDBONES #frinightfever loving your quickness  This is so fun!
negative,All local PHX channels are off the air on the Cable 1 system in the White Mtns. No local news fix this AM... Sorry April 
negative,@indur 20 hours.... and everything seems to be moving along so slowly 
positive,"It may be raining outside, but there's eternal sunshine in my mind today "
positive,@sandra too many new faces yesterday...will be on the look-out next time 
negative,Just found out my brother was robbed this weekend at gun point.  scary
positive,"@slantsixneal Oh, if only I could make those decisions "
negative,"Oh Science, my head hurts &amp; my tummy does too.  Oh noes!!  That's not a desired way to feel at work "
negative,WTF Stupid earphones i can't hear my music now...i'm sad 
positive,@GonziAida get direct deposit 
positive,I'm leaving in the morning and I'm having a slumber party with jojo and ryan on my last night   http://mypict.me/2TPD
positive,Good morning everyone   no school today or tomorrow!
negative,Work...and lots of it..ugh I thought overtime was supposed to be easy 
negative,@LeeLum but but but! 
positive,yum birthday cake 
negative,Have to go to Roseville for a volleyball BBQ  Blahhh
positive,@susiecheng Thank you so much for the #ff!!  
negative,@Jonasbrothers i wish i was... 
positive,"awww, he always seems to make me smile "
negative,No playing this weekend.... Just work  #FB
negative,is lonely on Saturday 
negative,@seandunlopWTW all time low are I'm the new blunt mag I bought the normal one not the posters cos didn't have enough money 
negative,@selenagomez aww  that saddd
positive,"after 10 yeaars. haha! finally. the delivery guy came! yey, lts all eat. yum yum, want some? "
positive,@quinland I LOVE The Way Yu Do That! U make Me Feel Special 
negative,"I could not hold out, and now I have http://bit.ly/M7xO2  "
positive,@gerrystoltzfoos - sounds right to me 
positive,I have seen a lot of movies on Justin.tv today. Jobintervju tomorrow. and bbq with my class. 
negative,"@JaySDaughtry Sorry it was cold &amp; rainy, though... c'est la vie up here. "
negative,My icon isn't with me today he went to the aquarium without me 
positive,@TradingGoddess Thanks for the amazing follow back!  Are you still up or a REALLY early riser?
positive,@Magpie_Guy Congrats to your daughter! Thats great 
negative,@thenewbnb some1 things am putting on so much weight cos i eat a lot  appo for somedays no going out!!! 
negative,"Joey, please don't leave.    Aww, but he must.  Stinking Speed School.  Trying to hype myself up so I won't be so sad without him.  "
positive,Doing laundry on a friday night 
positive,@chungyc I just assumed no one ever unfollowed my great twitter feed 
negative,"@kevinmarks The problem is with the music that I use... YouTube remove all sound  My fault I know, but still..."
negative,@ChrisBeresford wooohoo! but i wish we were still talking 
negative,@angeliitoh__x im not perfect jhajhajaha i wish yo be but i cant  come ya!! yeiiiii!!
negative,"@zkiraly I have the same problem on the iPhone Tweetdeck, esp. after installing 3.0. Sucks when I lose what I wrote   Back on Tweetie too."
negative,"@Lozzy1998 NO! I didn't get one!  Just as well probably, I always feel awful all day after eating one."
negative,at MCO crew lounge waiting to take the plane out to White Plains then limo back to JFK &amp; I'm done. Only 1day off though b4 another 4 day 
positive,just got home from CBTL-TriNoMa with highschool friends. 
positive,"@nicole0415 Besides..one person in the pair has to be the bitch, right?? I have THAT one nailed!! "
negative,@sara3isenough still no cupcakes 
positive,i like the baldwin brothers  haha not janice..
negative,"oh god im at slimmin world again  dont wanna be here but... No buts, dont wanna be here"
positive,making a coffee and procrastinating 
positive,"@SonjaNorwood Well, again I am honored. And thanks for that  You are a very wise woman and its easy to see where Brandy gets it from"
positive,@Megskkaa right on. 
negative,My fucking computer exploded 
positive,"@AliDaley Sounds lovely, hope the rest of your weekend is a really great one and that you are spoiled a little more "
negative,Chillin with David at my house. He's leaving tomorrow   I won't see him for a few weeks  I'll miss my babycakes!
positive,@cymberrain I wouldn't have thought they would be more time consuming that your gorgeous jewels 
positive,@gracefreeman I do have facebook 
negative,i miss my old friends and self. 
negative,"today was a good today. nothing boring.but that'll change, cause here i go to make tea, and then study for socials. i HATE socials. "
positive,@bikudesigns I'm following you now!    I'd loove for you to follow me back http://Gifts-Etc.blogspot.com
positive,"@Rayyychell Well, its not Charlie, its this guy that I used to talk to but now he kinda ignores me. 3 months on tuesday. "
positive,@ohDenis Hi! nice to see you here 
negative,ugh selling computers is hard 
negative,"wow, for the first time ever I'm actually complaining about my iPhone. It's busting my balls since it was replaced! "
negative,@ccal4321MD i tried to reply to your DM but it wont let me. 
negative,@Ali_Sweeney I was so ticked yesterday when they cut into the middle of the show! And after a Friday cliffhanger. 
positive,good night all 
positive,@KimberlyDoll super true  ps: congrats for the 4 months !! So happy for u !!  ?
negative,This is the part of moving that sucks... when everything is packed up and I'm sitting in a bare lounge room.  It feels cold and lonely. 
positive,wow :S            dyed my hair again  blonder is better 
positive,http://bit.ly/115D4j  I think I found a new obsession 
negative,"'Up' at 1:30. Anyone interested in joining can reach me via text, tweet, phone call or smoke signal. Not spotlight, needs new bulb, sorry "
negative,blood nosee! 
negative,not going to the fashion show anymore. stuck in my grandpa's house. why does it have to rain so hard here! 
positive,"Saw a great t-shirt yesterday - &quot;Don't Let Cancer Steal 2nd Base&quot;, on the high school girl's softball players. "
negative,@_lally_ hmmh.. 
positive,@kiddo47 Hopefully to 300 soon!  Thank you!
negative,cant login here from my mobile 
